ts,networks,ports,peak_gbps,current_gbps,capacity_gbps
2026-08-23T15:49:58Z,141,188,1116.82,888.21,8358
2026-08-23T16:56:27Z,141,188,1116.82,883.76,8358
2026-08-23T17:42:16Z,141,188,1116.82,893.53,8358
2026-08-23T18:01:42Z,141,188,1116.82,893.53,8358
2026-08-23T19:10:14Z,141,188,1116.82,933.33,8358
2026-08-23T19:50:30Z,141,188,1116.82,974.06,8358
2026-08-23T20:52:05Z,141,188,1116.82,970.24,8358
2026-08-23T21:42:50Z,141,188,1116.82,848.16,8358
2026-08-23T22:01:30Z,141,188,1116.82,848.16,8358
2026-08-23T22:55:32Z,141,188,1116.82,568.54,8358
2026-08-23T23:42:09Z,141,188,1116.82,428.21,8358
2026-08-24T00:01:51Z,141,188,1116.82,428.21,8358
2026-08-24T03:36:42Z,141,188,1116.82,275.24,8358
2026-08-24T05:55:27Z,141,188,1116.82,553.68,8358
2026-08-24T08:26:22Z,141,188,1116.82,757.74,8358
2026-08-24T10:23:14Z,141,188,1116.82,788.95,8358
2026-08-24T11:49:00Z,141,188,1116.82,827.49,8358
2026-08-24T14:25:37Z,141,188,1116.82,850.2,8358
2026-08-24T16:06:50Z,141,188,1116.82,850.71,8358
2026-08-24T17:51:44Z,141,188,1116.82,867.84,8358
2026-08-24T19:19:15Z,141,188,1116.82,974.84,8358
2026-08-24T21:00:56Z,141,188,1116.82,899.88,8358
2026-08-24T22:01:22Z,141,188,1116.82,777.87,8358
2026-08-24T23:01:28Z,141,188,1116.82,523.38,8358
2026-08-24T23:54:25Z,141,188,1116.82,468.81,8358
2026-08-25T03:15:36Z,141,188,1116.82,282.53,8358
2026-08-25T05:17:17Z,141,188,1116.82,458.55,8358
2026-08-25T08:00:20Z,141,188,1116.82,703.08,8358
2026-08-25T09:59:32Z,141,188,1116.82,775.46,8358
2026-08-25T11:04:31Z,141,188,1116.82,782.99,8358
2026-08-25T12:04:39Z,141,188,1116.82,822.21,8358
2026-08-25T14:30:51Z,141,188,1116.82,846.96,8358
2026-08-25T16:20:29Z,141,188,1116.82,827.36,8358
2026-08-25T17:52:37Z,141,188,1116.82,934.22,8358
2026-08-25T19:20:14Z,141,188,1116.82,1014.62,8358
2026-08-25T20:53:35Z,141,188,1116.82,899.38,8358
2026-08-25T21:56:13Z,141,188,1116.82,788.85,8358
2026-08-25T22:59:53Z,141,188,1116.82,544.26,8358
2026-08-25T23:53:33Z,141,188,1116.82,429.71,8358
2026-08-26T03:34:41Z,141,188,1116.82,294.53,8358
2026-08-26T05:18:33Z,141,188,1116.82,444.69,8358
2026-08-26T08:03:37Z,141,188,1116.82,686.88,8358
2026-08-26T10:08:30Z,141,188,1116.82,765.36,8358
2026-08-26T11:49:59Z,141,188,1116.82,812.45,8358
2026-08-26T14:25:24Z,141,188,1116.82,850.8,8358
2026-08-28T00:51:27Z,141,187,1116.82,330.24,8258
2026-08-28T21:52:11Z,141,187,1116.82,782.3,8258
2026-08-28T22:02:37Z,141,187,1116.82,782.3,8258
2026-08-28T22:17:41Z,141,187,1116.82,701.29,8258
2026-08-28T22:32:45Z,141,187,1116.82,678.09,8258
2026-08-28T22:47:22Z,141,187,1116.82,678.09,8258
2026-08-28T23:02:32Z,141,187,1116.82,584.78,8258
2026-08-28T23:17:27Z,141,187,1116.82,523.37,8258
2026-08-28T23:32:29Z,141,187,1116.82,523.37,8258
2026-08-28T23:47:21Z,141,187,1116.82,473.11,8258
2026-08-29T00:02:41Z,141,187,1116.82,473.11,8258
2026-08-29T00:17:35Z,141,187,1116.82,420.03,8258
2026-08-29T00:32:30Z,141,187,1116.82,413.11,8258
2026-08-29T00:47:36Z,141,187,1116.82,413.11,8258
2026-08-29T01:02:22Z,141,187,1116.82,352.35,8258
2026-08-29T01:17:31Z,141,187,1116.82,344.02,8258
2026-08-29T01:32:37Z,141,187,1116.82,344.02,8258
2026-08-29T01:47:30Z,141,187,1116.82,308.18,8258
2026-08-29T02:02:38Z,141,187,1116.82,308.18,8258
2026-08-29T02:17:30Z,141,187,1116.82,283.34,8258
2026-08-29T02:32:30Z,141,187,1116.82,299.42,8258
2026-08-29T02:47:27Z,141,187,1116.82,299.42,8258
2026-08-29T03:02:41Z,141,187,1116.82,286.68,8258
2026-08-29T03:17:37Z,141,187,1116.82,295.35,8258
2026-08-29T03:32:56Z,141,187,1116.82,295.35,8258
2026-08-29T03:47:26Z,141,187,1116.82,289.59,8258
2026-08-29T04:02:50Z,141,187,1116.82,289.59,8258
2026-08-29T04:17:34Z,141,187,1116.82,295.52,8258
2026-08-29T04:32:39Z,141,187,1116.82,329.47,8258
2026-08-29T04:47:38Z,141,187,1116.82,329.47,8258
2026-08-29T05:02:49Z,141,187,1116.82,371.48,8258
2026-08-29T05:17:44Z,141,187,1116.82,426.64,8258
2026-08-29T05:32:43Z,141,187,1116.82,426.64,8258
2026-08-29T05:47:26Z,141,187,1116.82,466.91,8258
2026-08-29T06:03:13Z,141,187,1116.82,466.91,8258
2026-08-29T06:17:43Z,141,187,1116.82,500.88,8258
2026-08-29T06:32:28Z,141,187,1116.82,525.89,8258
2026-08-29T06:47:33Z,141,187,1116.82,525.89,8258
2026-08-29T07:03:01Z,141,187,1116.82,553.11,8258
2026-08-29T07:17:31Z,141,187,1116.82,597.26,8258
2026-08-29T07:32:40Z,141,187,1116.82,597.26,8258
2026-08-29T07:47:34Z,141,187,1116.82,613.01,8258
2026-08-29T08:02:48Z,141,187,1116.82,613.01,8258
2026-08-29T08:17:43Z,141,187,1116.82,645.11,8258
2026-08-29T08:32:47Z,141,187,1116.82,662.85,8258
2026-08-29T08:47:56Z,141,187,1116.82,662.85,8258
2026-08-29T09:02:43Z,141,187,1116.82,681.99,8258
2026-08-29T09:17:43Z,141,187,1116.82,693.6,8258
2026-08-29T09:32:38Z,141,187,1116.82,693.6,8258
2026-08-29T09:47:31Z,141,187,1116.82,698.45,8258
2026-08-29T10:03:02Z,141,187,1116.82,698.45,8258
2026-08-29T10:17:43Z,141,187,1116.82,718.64,8258
2026-08-29T10:32:47Z,141,187,1116.82,754.81,8258
2026-08-29T10:47:29Z,141,187,1116.82,754.81,8258
2026-08-29T11:02:38Z,141,187,1116.82,765.49,8258
2026-08-29T11:17:39Z,141,187,1116.82,784.26,8258
2026-08-29T11:32:41Z,141,187,1116.82,784.26,8258
2026-08-29T11:47:30Z,141,187,1116.82,792.16,8258
2026-08-29T12:03:16Z,141,187,1116.82,792.16,8258
2026-08-29T12:17:35Z,141,187,1116.82,793.99,8258
2026-08-29T12:32:45Z,141,187,1116.82,839.86,8258
2026-08-29T12:47:45Z,141,187,1116.82,839.86,8258
2026-08-29T13:02:40Z,141,187,1116.82,829.89,8258
2026-08-29T13:17:34Z,141,187,1116.82,820.84,8258
2026-08-29T13:32:33Z,141,187,1116.82,820.84,8258
2026-08-29T13:47:39Z,141,187,1116.82,816.25,8258
2026-08-29T14:03:02Z,141,187,1116.82,816.25,8258
2026-08-29T14:17:37Z,141,187,1116.82,807.14,8258
2026-08-29T14:32:40Z,141,187,1116.82,815.05,8258
2026-08-29T14:47:33Z,141,187,1116.82,815.05,8258
2026-08-29T15:02:44Z,141,187,1116.82,788.25,8258
2026-08-29T15:17:33Z,141,187,1116.82,828.73,8258
2026-08-29T15:32:28Z,141,187,1116.82,828.73,8258
2026-08-29T15:47:26Z,141,187,1116.82,822.99,8258
2026-08-29T16:02:42Z,141,187,1116.82,822.99,8258
2026-08-29T16:17:33Z,141,187,1116.82,806.91,8258
2026-08-29T16:32:31Z,141,187,1116.82,808.3,8258
2026-08-29T16:47:34Z,141,187,1116.82,808.3,8258
2026-08-29T17:02:51Z,141,187,1116.82,802.81,8258
2026-08-29T17:17:49Z,141,187,1116.82,821.12,8258
2026-08-29T17:32:46Z,141,187,1116.82,821.12,8258
2026-08-29T17:47:37Z,141,187,1116.82,820.6,8258
2026-08-29T18:02:41Z,141,187,1116.82,820.6,8258
2026-08-29T18:17:34Z,141,187,1116.82,840.68,8258
2026-08-29T18:32:31Z,141,187,1116.82,890.44,8258
2026-08-29T18:47:38Z,141,187,1116.82,890.44,8258
2026-08-29T19:02:37Z,141,187,1116.82,908.75,8258
2026-08-29T19:17:28Z,141,187,1116.82,919.11,8258
2026-08-29T19:32:40Z,141,187,1116.82,919.11,8258
2026-08-29T19:47:40Z,141,187,1116.82,924.84,8258
2026-08-29T20:02:52Z,141,187,1116.82,924.84,8258
2026-08-29T20:17:29Z,141,187,1116.82,929.04,8258
2026-08-29T20:32:31Z,141,187,1116.82,932.92,8258
2026-08-29T20:47:28Z,141,187,1116.82,932.92,8258
2026-08-29T21:02:36Z,141,187,1116.82,873.95,8258
2026-08-29T21:17:30Z,141,187,1116.82,824.18,8258
2026-08-29T21:32:39Z,141,187,1116.82,824.18,8258
2026-08-29T21:47:38Z,141,187,1116.82,816.12,8258
2026-08-29T22:02:51Z,141,187,1116.82,816.12,8258
2026-08-29T22:17:31Z,141,187,1116.82,743.35,8258
2026-08-29T22:32:30Z,141,187,1116.82,687.46,8258
2026-08-29T22:47:35Z,141,187,1116.82,687.46,8258
2026-08-29T23:02:38Z,141,187,1116.82,581.71,8258
2026-08-29T23:17:33Z,141,187,1116.82,521.31,8258
2026-08-29T23:32:41Z,141,187,1116.82,521.31,8258
2026-08-29T23:47:24Z,141,187,1116.82,471.22,8258
2026-08-30T00:03:10Z,141,187,1116.82,471.22,8258
2026-08-30T00:17:44Z,141,187,1116.82,417.29,8258
2026-08-30T00:32:38Z,141,187,1116.82,416.68,8258
2026-08-30T00:47:40Z,141,187,1116.82,416.68,8258
2026-08-30T01:02:40Z,141,187,1116.82,349.78,8258
2026-08-30T01:18:04Z,141,187,1116.82,332.12,8258
2026-08-30T01:32:56Z,141,187,1116.82,332.12,8258
2026-08-30T01:48:17Z,141,187,1116.82,298.61,8258
2026-08-30T02:03:00Z,141,187,1116.82,298.61,8258
2026-08-30T02:17:49Z,141,187,1116.82,270.96,8258
2026-08-30T02:32:27Z,141,187,1116.82,280.71,8258
2026-08-30T02:47:42Z,141,187,1116.82,280.71,8258
2026-08-30T03:02:44Z,141,187,1116.82,256.72,8258
2026-08-30T03:17:36Z,141,187,1116.82,260.28,8258
2026-08-30T03:32:40Z,141,187,1116.82,260.28,8258
2026-08-30T03:47:44Z,141,187,1116.82,258.62,8258
2026-08-30T04:02:44Z,141,187,1116.82,258.62,8258
2026-08-30T04:17:42Z,141,187,1116.82,259.31,8258
2026-08-30T04:32:33Z,141,187,1116.82,299.84,8258
2026-08-30T04:47:38Z,141,187,1116.82,299.84,8258
2026-08-30T05:02:48Z,141,187,1116.82,344.06,8258
2026-08-30T05:17:35Z,141,187,1116.82,395.41,8258
2026-08-30T05:32:41Z,141,187,1116.82,395.41,8258
2026-08-30T05:47:25Z,141,187,1116.82,429.44,8258
2026-08-30T06:02:53Z,141,187,1116.82,429.44,8258
2026-08-30T06:17:42Z,141,187,1116.82,469.95,8258
2026-08-30T06:32:57Z,141,187,1116.82,513.36,8258
2026-08-30T06:47:36Z,141,187,1116.82,513.36,8258
2026-08-30T07:02:41Z,141,187,1116.82,571.96,8258
2026-08-30T07:17:39Z,141,187,1116.82,608.3,8258
2026-08-30T07:32:43Z,141,187,1116.82,608.3,8258
2026-08-30T07:47:38Z,141,187,1116.82,622,8258
2026-08-30T08:02:45Z,141,187,1116.82,622,8258
2026-08-30T08:17:44Z,141,187,1116.82,656.76,8258
2026-08-30T08:32:34Z,141,187,1116.82,686.85,8258
2026-08-30T08:47:36Z,141,187,1116.82,686.85,8258
2026-08-30T09:02:40Z,141,187,1116.82,711.26,8258
2026-08-30T09:17:29Z,141,187,1116.82,729.68,8258
2026-08-30T09:32:34Z,141,187,1116.82,729.68,8258
2026-08-30T09:47:42Z,141,187,1116.82,755.33,8258
2026-08-30T10:02:34Z,141,187,1116.82,755.33,8258
2026-08-30T10:17:28Z,141,187,1116.82,771.07,8258
2026-08-30T10:32:55Z,141,187,1116.82,797.8,8258
2026-08-30T10:47:45Z,141,187,1116.82,797.8,8258
2026-08-30T11:02:49Z,141,187,1116.82,805.06,8258
2026-08-30T11:17:36Z,141,187,1116.82,840.29,8258
2026-08-30T11:32:40Z,141,187,1116.82,840.29,8258
2026-08-30T11:47:50Z,141,187,1116.82,847.62,8258
2026-08-30T12:02:53Z,141,187,1116.82,847.62,8258
2026-08-30T12:17:37Z,141,187,1116.82,853.7,8258
2026-08-30T12:32:30Z,141,187,1116.82,885.49,8258
2026-08-30T12:47:37Z,141,187,1116.82,885.49,8258
2026-08-30T13:02:37Z,141,187,1116.82,871.58,8258
2026-08-30T13:17:38Z,141,187,1116.82,893.34,8258
2026-08-30T13:32:42Z,141,187,1116.82,893.34,8258
2026-08-30T13:47:47Z,141,187,1116.82,877.41,8258
2026-08-30T14:02:38Z,141,187,1116.82,877.41,8258
2026-08-30T14:17:36Z,141,187,1116.82,914.28,8258
2026-08-30T14:32:33Z,141,187,1116.82,911.25,8258
2026-08-30T14:47:39Z,141,187,1116.82,911.25,8258
2026-08-30T15:02:43Z,141,187,1116.82,889.69,8258
2026-08-30T15:18:25Z,141,187,1116.82,890.4,8258
2026-08-30T15:32:45Z,141,187,1116.82,890.4,8258
2026-08-30T15:47:43Z,141,187,1116.82,883.83,8258
2026-08-30T16:02:44Z,141,187,1116.82,883.83,8258
2026-08-30T16:17:52Z,141,187,1116.82,892.22,8258
2026-08-30T16:32:56Z,141,187,1116.82,903.88,8258
2026-08-30T16:47:40Z,141,187,1116.82,903.88,8258
2026-08-30T17:02:54Z,141,187,1116.82,900.54,8258
2026-08-30T17:17:32Z,141,187,1116.82,889.91,8258
2026-08-30T17:32:42Z,141,187,1116.82,889.91,8258
2026-08-30T17:47:24Z,141,187,1116.82,891.2,8258
2026-08-30T18:02:45Z,141,187,1116.82,935.15,8258
2026-08-30T18:17:29Z,141,187,1116.82,935.15,8258
2026-08-30T18:32:27Z,141,187,1116.82,991.58,8258
2026-08-30T18:47:34Z,141,187,1116.82,991.58,8258
2026-08-30T19:02:42Z,141,187,1116.82,985.29,8258
2026-08-30T19:17:41Z,141,187,1116.82,987.67,8258
2026-08-30T19:32:32Z,141,187,1116.82,987.67,8258
2026-08-30T19:47:34Z,141,187,1116.82,962.64,8258
2026-08-30T20:02:51Z,141,187,1116.82,966.61,8258
2026-08-30T20:17:39Z,141,187,1116.82,966.61,8258
2026-08-30T20:32:44Z,141,187,1116.82,962.82,8258
2026-08-30T20:47:37Z,141,187,1116.82,962.82,8258
2026-08-30T21:02:55Z,141,187,1116.82,877.9,8258
2026-08-30T21:17:27Z,141,187,1116.82,837.48,8258
2026-08-30T21:32:30Z,141,187,1116.82,837.48,8258
2026-08-30T21:47:39Z,141,187,1116.82,765.09,8258
2026-08-30T22:02:35Z,141,187,1116.82,695.49,8258
2026-08-30T22:17:36Z,141,187,1116.82,695.49,8258
2026-08-30T22:32:28Z,141,187,1116.82,649.54,8258
2026-08-30T22:47:37Z,141,187,1116.82,649.54,8258
2026-08-30T23:02:44Z,141,187,1116.82,548.87,8258
2026-08-30T23:17:46Z,141,187,1116.82,487.19,8258
2026-08-30T23:32:26Z,141,187,1116.82,487.19,8258
2026-08-30T23:47:28Z,141,187,1116.82,434.56,8258
2026-08-31T00:03:10Z,141,187,1116.82,387.13,8258
2026-08-31T00:17:47Z,141,187,1116.82,387.13,8258
2026-08-31T00:32:32Z,141,187,1116.82,375.45,8258
2026-08-31T00:47:34Z,141,187,1116.82,375.45,8258
2026-08-31T01:02:39Z,141,187,1116.82,319.63,8258
2026-08-31T01:17:33Z,141,187,1116.82,307.41,8258
2026-08-31T01:32:36Z,141,187,1116.82,307.41,8258
2026-08-31T01:47:36Z,141,187,1116.82,272.61,8258
2026-08-31T02:02:42Z,141,187,1116.82,252.83,8258
2026-08-31T02:17:41Z,141,187,1116.82,252.83,8258
2026-08-31T02:32:41Z,141,187,1116.82,261.53,8258
2026-08-31T02:47:50Z,141,187,1116.82,261.53,8258
2026-08-31T03:02:58Z,141,187,1116.82,253.32,8258
2026-08-31T03:17:37Z,141,187,1116.82,286.79,8258
2026-08-31T03:32:45Z,141,187,1116.82,286.79,8258
2026-08-31T03:47:32Z,141,187,1116.82,281.59,8258
2026-08-31T04:02:45Z,141,187,1116.82,303.75,8258
2026-08-31T04:17:35Z,141,187,1116.82,303.75,8258
2026-08-31T04:32:42Z,141,187,1116.82,351.51,8258
2026-08-31T04:47:30Z,141,187,1116.82,351.51,8258
2026-08-31T05:02:57Z,141,187,1116.82,391.13,8258
2026-08-31T05:17:39Z,141,187,1116.82,458.21,8258
2026-08-31T05:32:47Z,141,187,1116.82,458.21,8258
2026-08-31T05:47:37Z,141,187,1116.82,528.53,8258
2026-08-31T06:03:02Z,141,187,1116.82,592.77,8258
2026-08-31T06:17:41Z,141,187,1116.82,592.77,8258
2026-08-31T06:32:51Z,141,187,1116.82,650.46,8258
2026-08-31T06:47:29Z,141,187,1116.82,650.46,8258
2026-08-31T07:02:52Z,141,187,1116.82,674.12,8258
2026-08-31T07:17:40Z,141,187,1116.82,705.49,8258
2026-08-31T07:33:01Z,141,187,1116.82,705.49,8258
2026-08-31T07:47:49Z,141,187,1116.82,713.87,8258
2026-08-31T08:03:05Z,141,187,1116.82,720.39,8258
2026-08-31T08:17:45Z,141,187,1116.82,720.39,8258
2026-08-31T08:32:50Z,141,187,1116.82,737.82,8258
2026-08-31T08:47:40Z,141,187,1116.82,737.82,8258
2026-08-31T09:02:39Z,141,187,1116.82,760.97,8258
2026-08-31T09:17:44Z,141,187,1116.82,785.53,8258
2026-08-31T09:32:37Z,141,187,1116.82,785.53,8258
2026-08-31T09:47:40Z,141,187,1116.82,790.02,8258
2026-08-31T10:02:47Z,141,187,1116.82,806.53,8258
2026-08-31T10:17:37Z,141,187,1116.82,806.53,8258
2026-08-31T10:32:50Z,141,187,1116.82,838.33,8258
2026-08-31T10:47:34Z,141,187,1116.82,838.33,8258
2026-08-31T11:03:03Z,141,187,1116.82,823.28,8258
2026-08-31T11:17:50Z,141,187,1116.82,855.86,8258
2026-08-31T11:32:44Z,141,187,1116.82,855.86,8258
2026-08-31T11:47:41Z,141,187,1116.82,842.6,8258
2026-08-31T12:03:01Z,141,187,1116.82,846,8258
2026-08-31T12:17:38Z,141,187,1116.82,846,8258
2026-08-31T12:32:41Z,141,187,1116.82,862.4,8258
2026-08-31T12:47:38Z,141,187,1116.82,862.4,8258
2026-08-31T13:02:43Z,141,187,1116.82,854.98,8258
2026-08-31T13:17:43Z,141,187,1116.82,873.9,8258
2026-08-31T13:32:44Z,141,187,1116.82,873.9,8258
2026-08-31T13:47:34Z,141,188,1116.82,860.44,8358
2026-08-31T14:02:42Z,141,188,1116.82,846.9,8358
2026-08-31T14:17:38Z,141,188,1116.82,846.9,8358
2026-08-31T14:32:53Z,141,187,1116.82,851.09,8348
2026-08-31T14:47:34Z,141,187,1116.82,851.09,8348
2026-08-31T15:02:52Z,141,187,1116.82,836.8,8348
2026-08-31T15:17:54Z,141,187,1116.82,858.99,8348
2026-08-31T15:32:37Z,141,187,1116.82,858.99,8348
2026-08-31T15:47:34Z,141,187,1116.82,836.14,8348
2026-08-31T16:03:02Z,141,187,1116.82,831.17,8348
2026-08-31T16:17:43Z,141,187,1116.82,831.17,8348
2026-08-31T16:32:47Z,141,187,1116.82,845.63,8348
2026-08-31T16:47:41Z,141,187,1116.82,845.63,8348
2026-08-31T17:02:45Z,141,187,1116.82,848.86,8348
2026-08-31T17:17:46Z,141,187,1116.82,884.93,8348
2026-08-31T17:32:41Z,141,187,1116.82,884.93,8348
2026-08-31T17:47:41Z,141,187,1116.82,911,8348
2026-08-31T18:02:46Z,141,187,1116.82,911.21,8348
2026-08-31T18:17:40Z,141,187,1116.82,911.21,8348
2026-08-31T18:32:36Z,141,187,1116.82,933.06,8348
2026-08-31T18:47:49Z,141,187,1116.82,933.06,8348
2026-08-31T19:02:48Z,141,187,1116.82,904.15,8348
2026-08-31T19:17:42Z,141,187,1116.82,921.38,8348
2026-08-31T19:32:39Z,141,187,1116.82,921.38,8348
2026-08-31T19:47:38Z,141,187,1116.82,922.75,8348
2026-08-31T20:02:34Z,141,187,1116.82,928.25,8348
2026-08-31T20:17:41Z,141,188,1116.82,928.25,8448
2026-08-31T20:32:36Z,141,188,1116.82,900.46,8448
2026-08-31T20:47:35Z,141,188,1116.82,900.46,8448
2026-08-31T21:02:37Z,141,188,1116.82,858.85,8448
2026-08-31T21:17:34Z,141,188,1116.82,807.78,8448
2026-08-31T21:32:39Z,141,188,1116.82,807.78,8448
2026-08-31T21:47:32Z,141,188,1116.82,754.1,8448
2026-08-31T22:02:48Z,141,188,1116.82,639.27,8448
2026-08-31T22:17:41Z,141,188,1116.82,639.27,8448
2026-08-31T22:32:58Z,141,188,1116.82,607.07,8448
2026-08-31T22:47:27Z,141,188,1116.82,607.07,8448
2026-08-31T23:02:37Z,141,188,1116.82,497.86,8448
2026-08-31T23:17:32Z,141,188,1116.82,446.37,8448
2026-08-31T23:32:32Z,141,188,1116.82,446.37,8448
2026-08-31T23:47:31Z,141,188,1116.82,405.37,8448
